Date,Open,High,Low,Close,Adj Close,Volume
2021-03-22,81.900002,82.849998,81.629997,82.769997,80.249855,1853100
2021-03-23,81.650002,81.940002,80.910004,80.930000,78.465881,1861000
2021-03-24,80.930000,81.160004,76.599998,76.809998,74.471313,5983900
2021-03-25,77.309998,78.190002,76.800003,77.419998,75.062744,4747400
2021-03-26,79.440002,80.980003,77.820000,80.980003,78.514359,5923100
2021-03-29,79.190002,79.800003,78.070000,78.690002,76.294083,3468900
2021-03-30,78.570000,79.410004,78.029999,78.830002,76.429817,1715900
2021-03-31,79.300003,80.459999,78.709999,79.800003,77.370285,3769500
2021-04-01,83.849998,84.449997,83.099998,83.839996,81.287270,2013100
2021-04-05,84.599998,84.650002,83.150002,83.360001,80.821892,2212200
2021-04-06,84.190002,84.980003,83.000000,84.650002,82.072609,2199800
2021-04-07,76.480003,78.900002,76.440002,78.269997,75.886864,20574000
2021-04-08,80.430000,80.800003,79.849998,80.430000,77.981102,3793400
2021-04-09,79.900002,80.110001,79.080002,79.419998,77.001846,2922200
2021-04-12,79.000000,79.300003,78.750000,79.250000,76.837029,2808600
2021-04-13,79.070000,80.519997,78.510002,79.940002,77.506020,2735300
2021-04-14,80.449997,80.680000,79.269997,79.349998,76.933983,1916400
2021-04-15,79.900002,80.650002,79.709999,79.980003,77.544800,2162900
2021-04-16,81.150002,81.559998,80.540001,81.000000,78.533745,2130800
2021-04-19,80.290001,80.449997,79.300003,79.610001,77.186066,2154400
2021-04-20,79.309998,79.690002,78.080002,78.599998,76.206818,2979000
2021-04-21,78.599998,79.970001,78.199997,79.790001,77.360588,1760800
2021-04-22,80.120003,81.449997,79.940002,80.889999,78.427094,1693100
2021-04-23,81.220001,82.279999,81.150002,81.800003,79.309387,1640000
2021-04-26,80.570000,80.570000,79.269997,80.300003,77.855057,1903000
2021-04-27,80.309998,80.980003,80.309998,80.470001,78.019882,1812400
2021-04-28,80.900002,81.550003,80.470001,81.260002,78.785828,1132900
