Date,Open,High,Low,Close,Adj Close,Volume
2021-03-22,509.130005,529.309998,509.130005,523.109985,523.109985,3360600
2021-03-23,529.869995,543.119995,529.400024,535.090027,535.090027,5583500
2021-03-24,533.780029,534.419983,520.000000,520.809998,520.809998,4102200
2021-03-25,516.989990,518.530029,497.000000,502.859985,502.859985,4926800
2021-03-26,502.820007,508.720001,496.679993,508.049988,508.049988,3467800
2021-03-29,505.660004,518.000000,504.399994,513.950012,513.950012,3330000
2021-03-30,510.510010,514.409973,506.910004,513.390015,513.390015,2418100
2021-03-31,515.669983,528.130005,515.440002,521.659973,521.659973,3503100
2021-04-01,529.929993,540.500000,527.030029,539.419983,539.419983,3938600
2021-04-05,540.010010,542.849976,529.229980,540.669983,540.669983,3355900
2021-04-06,544.809998,554.169983,543.299988,544.530029,544.530029,3474200
2021-04-07,543.500000,549.640015,541.450012,546.989990,546.989990,2151300
2021-04-08,551.130005,556.900024,547.570007,554.580017,554.580017,4309800
2021-04-09,552.690002,556.900024,547.109985,555.309998,555.309998,2894000
2021-04-12,551.049988,557.979980,549.580017,552.780029,552.780029,2944100
2021-04-13,557.000000,559.750000,550.299988,553.729980,553.729980,2720300
2021-04-14,554.869995,554.869995,538.530029,540.020020,540.020020,3740300
2021-04-15,544.169983,553.489990,542.659973,549.219971,549.219971,3139100
2021-04-16,550.539978,551.979980,539.510010,546.539978,546.539978,3209100
2021-04-19,546.900024,556.440002,545.530029,554.440002,554.440002,4288700
2021-04-20,554.419983,563.559998,546.299988,549.570007,549.570007,11257600
2021-04-21,508.000000,515.460022,503.600006,508.899994,508.899994,22897400
2021-04-22,513.820007,513.960022,500.549988,508.779999,508.779999,9061100
2021-04-23,509.010010,509.700012,500.700012,505.549988,505.549988,7307700
2021-04-26,506.760010,510.480011,503.000000,510.299988,510.299988,4388800
2021-04-27,512.619995,512.989990,504.579987,505.549988,505.549988,3761300
2021-04-28,505.200012,508.399994,503.339996,506.519989,506.519989,3193000
2021-04-29,507.600006,509.290009,499.000000,509.000000,509.000000,5127800
2021-04-30,505.000000,514.549988,505.000000,513.469971,513.469971,4413200
2021-05-03,512.650024,518.950012,505.200012,509.109985,509.109985,4091900
2021-05-04,510.779999,511.630005,496.790009,503.179993,503.179993,4349500
2021-05-05,504.989990,507.779999,494.630005,496.079987,496.079987,3129400
2021-05-06,495.989990,499.549988,491.369995,499.549988,499.549988,3783700
2021-05-07,504.619995,508.549988,501.119995,503.839996,503.839996,3132800
2021-05-10,502.000000,503.149994,486.109985,486.690002,486.690002,5131600
2021-05-11,479.750000,497.989990,478.630005,495.079987,495.079987,4401000
2021-05-12,486.829987,493.540009,482.700012,484.980011,484.980011,4121500
2021-05-13,489.130005,490.779999,482.709991,486.660004,486.660004,2712500
2021-05-14,487.859985,494.850006,486.589996,493.369995,493.369995,2882500
2021-05-17,485.589996,492.709991,482.809998,488.940002,488.940002,2705200
2021-05-18,488.399994,493.480011,486.190002,486.279999,486.279999,2350500
2021-05-19,481.630005,488.570007,478.540009,487.700012,487.700012,3349900
2021-05-20,489.549988,502.700012,488.980011,501.670013,501.670013,3721200
2021-05-21,503.119995,505.399994,497.260010,497.890015,497.890015,3322900
2021-05-24,501.049988,504.250000,499.510010,502.899994,502.899994,2412600
2021-05-25,506.000000,506.369995,499.220001,501.339996,501.339996,2699500
2021-05-26,502.339996,504.140015,500.500000,502.359985,502.359985,2465300
2021-05-27,501.799988,505.100006,498.540009,503.859985,503.859985,3253800
2021-05-28,504.399994,511.760010,502.529999,502.809998,502.809998,2910300
2021-06-01,504.010010,505.410004,497.739990,499.079987,499.079987,2482600
2021-06-02,499.820007,503.220001,495.820007,499.239990,499.239990,2269000
2021-06-03,495.190002,496.660004,487.250000,489.429993,489.429993,3887400
2021-06-04,492.000000,501.859985,490.950012,494.739990,494.739990,3160500
2021-06-07,492.920013,496.700012,490.549988,494.660004,494.660004,2791900
2021-06-08,497.000000,498.820007,489.369995,492.390015,492.390015,2374000
2021-06-09,494.500000,496.089996,484.649994,485.809998,485.809998,3055000
